ts,open,high,low,close,volume
2025-12-24 03:00:00+00:00,3.7,4.0,3.18,3.572,315474.0
2025-12-24 04:00:00+00:00,3.573,3.68,3.349,3.371,316662.0
2025-12-24 05:00:00+00:00,3.37,3.499,3.337,3.457,229071.0
2025-12-24 06:00:00+00:00,3.457,3.642,3.442,3.584,193547.0
2025-12-24 07:00:00+00:00,3.581,3.592,3.405,3.439,249931.0
2025-12-24 08:00:00+00:00,3.439,3.547,3.435,3.463,100090.0
2025-12-24 09:00:00+00:00,3.463,3.533,3.428,3.449,96047.0
2025-12-24 10:00:00+00:00,3.448,3.45,3.312,3.358,240687.0
2025-12-24 11:00:00+00:00,3.357,3.458,3.318,3.342,110344.0
2025-12-24 12:00:00+00:00,3.342,3.506,3.329,3.442,107959.0
2025-12-24 13:00:00+00:00,3.444,3.563,3.353,3.494,193815.0
2025-12-24 14:00:00+00:00,3.493,3.65,3.442,3.613,218942.0
2025-12-24 15:00:00+00:00,3.614,3.615,3.431,3.465,110957.0
2025-12-24 16:00:00+00:00,3.465,3.55,3.402,3.427,134107.0
2025-12-24 17:00:00+00:00,3.428,3.483,3.402,3.424,58672.0
2025-12-24 18:00:00+00:00,3.426,3.482,3.409,3.46,36275.0
2025-12-24 19:00:00+00:00,3.46,3.505,3.435,3.476,29259.0
2025-12-24 20:00:00+00:00,3.476,3.476,3.425,3.43,17402.0
2025-12-24 21:00:00+00:00,3.432,3.445,3.406,3.412,12859.0
2025-12-24 22:00:00+00:00,3.412,3.475,3.41,3.419,29147.0
2025-12-24 23:00:00+00:00,3.419,3.432,3.393,3.415,33806.0
2025-12-25 00:00:00+00:00,3.415,3.454,3.394,3.401,34466.0
2025-12-25 01:00:00+00:00,3.4,3.403,3.376,3.386,40965.0
2025-12-25 02:00:00+00:00,3.387,3.465,3.38,3.412,36410.0
2025-12-25 03:00:00+00:00,3.411,3.488,3.411,3.424,36847.0
2025-12-25 04:00:00+00:00,3.427,3.46,3.424,3.438,31240.0
2025-12-25 05:00:00+00:00,3.44,3.516,3.435,3.497,58942.0
2025-12-25 06:00:00+00:00,3.495,3.527,3.468,3.517,65725.0
2025-12-25 07:00:00+00:00,3.517,3.533,3.478,3.519,42911.0
2025-12-25 08:00:00+00:00,3.52,3.579,3.463,3.472,87130.0
2025-12-25 09:00:00+00:00,3.473,3.506,3.463,3.469,34434.0
2025-12-25 10:00:00+00:00,3.469,3.51,3.465,3.487,24879.0
2025-12-25 11:00:00+00:00,3.487,3.514,3.482,3.507,27955.0
2025-12-25 12:00:00+00:00,3.507,3.511,3.457,3.461,31268.0
2025-12-25 13:00:00+00:00,3.462,3.48,3.448,3.474,19204.0
2025-12-25 14:00:00+00:00,3.475,3.479,3.456,3.474,16639.0
2025-12-25 15:00:00+00:00,3.475,3.517,3.388,3.468,117798.0
2025-12-25 16:00:00+00:00,3.468,3.535,3.412,3.511,77374.0
2025-12-25 17:00:00+00:00,3.512,3.517,3.299,3.408,141772.0
2025-12-25 18:00:00+00:00,3.408,3.45,3.337,3.364,59460.0
2025-12-25 19:00:00+00:00,3.364,3.393,3.341,3.347,21463.0
2025-12-25 20:00:00+00:00,3.347,3.363,3.332,3.336,18886.0
2025-12-25 21:00:00+00:00,3.334,3.34,3.31,3.315,16430.0
2025-12-25 22:00:00+00:00,3.314,3.329,3.276,3.279,25703.0
2025-12-25 23:00:00+00:00,3.277,3.349,3.273,3.309,53774.0
2025-12-26 00:00:00+00:00,3.309,3.355,3.274,3.342,53203.0
2025-12-26 01:00:00+00:00,3.343,3.411,3.322,3.332,37788.0
2025-12-26 02:00:00+00:00,3.333,3.333,3.254,3.293,75133.0
2025-12-26 03:00:00+00:00,3.295,3.388,3.292,3.36,54478.0
2025-12-26 04:00:00+00:00,3.36,3.439,3.348,3.384,37135.0
2025-12-26 05:00:00+00:00,3.385,3.396,3.35,3.367,14043.0
2025-12-26 06:00:00+00:00,3.368,3.374,3.351,3.354,10107.0
2025-12-26 07:00:00+00:00,3.353,3.357,3.335,3.34,8944.0
2025-12-26 08:00:00+00:00,3.338,3.373,3.333,3.358,14802.0
2025-12-26 09:00:00+00:00,3.358,3.373,3.336,3.349,12242.0
2025-12-26 10:00:00+00:00,3.349,3.358,3.323,3.338,10247.0
2025-12-26 11:00:00+00:00,3.337,3.357,3.326,3.335,18253.0
2025-12-26 12:00:00+00:00,3.337,3.359,3.332,3.343,14925.0
2025-12-26 13:00:00+00:00,3.347,3.36,3.334,3.338,14453.0
2025-12-26 14:00:00+00:00,3.339,3.352,3.321,3.341,19401.0
2025-12-26 15:00:00+00:00,3.34,3.346,3.316,3.318,22571.0
2025-12-26 16:00:00+00:00,3.317,3.331,3.311,3.311,10568.0
2025-12-26 17:00:00+00:00,3.311,3.318,3.213,3.221,55115.0
2025-12-26 18:00:00+00:00,3.221,3.228,3.198,3.203,22930.0
2025-12-26 19:00:00+00:00,3.205,3.27,3.204,3.26,22165.0
2025-12-26 20:00:00+00:00,3.261,3.388,3.259,3.37,54937.0
2025-12-26 21:00:00+00:00,3.37,3.376,3.307,3.333,19471.0
2025-12-26 22:00:00+00:00,3.331,3.337,3.256,3.316,21749.0
2025-12-26 23:00:00+00:00,3.315,3.319,3.23,3.254,33062.0
2025-12-27 00:00:00+00:00,3.254,3.357,3.254,3.297,38084.0
2025-12-27 01:00:00+00:00,3.297,3.358,3.281,3.31,21538.0
2025-12-27 02:00:00+00:00,3.309,3.372,3.293,3.357,25464.0
2025-12-27 03:00:00+00:00,3.357,3.393,3.34,3.385,13830.0
2025-12-27 04:00:00+00:00,3.384,3.388,3.349,3.357,17410.0
2025-12-27 05:00:00+00:00,3.354,3.386,3.339,3.345,23664.0
2025-12-27 06:00:00+00:00,3.345,3.357,3.317,3.332,12328.0
2025-12-27 07:00:00+00:00,3.333,3.344,3.321,3.325,6258.0
2025-12-27 08:00:00+00:00,3.325,3.339,3.3,3.321,18687.0
2025-12-27 09:00:00+00:00,3.32,3.353,3.301,3.308,12310.0
2025-12-27 10:00:00+00:00,3.309,3.327,3.296,3.301,13437.0
2025-12-27 11:00:00+00:00,3.301,3.31,3.281,3.287,13357.0
2025-12-27 12:00:00+00:00,3.289,3.292,3.276,3.283,11480.0
2025-12-27 13:00:00+00:00,3.285,3.295,3.271,3.281,11434.0
2025-12-27 14:00:00+00:00,3.28,3.304,3.279,3.287,8625.0
2025-12-27 15:00:00+00:00,3.29,3.325,3.27,3.318,16842.0
2025-12-27 16:00:00+00:00,3.321,3.371,3.317,3.352,28374.0
2025-12-27 17:00:00+00:00,3.351,3.361,3.322,3.334,14140.0
2025-12-27 18:00:00+00:00,3.332,3.34,3.301,3.308,8883.0
2025-12-27 19:00:00+00:00,3.309,3.334,3.303,3.323,6134.0
2025-12-27 20:00:00+00:00,3.324,3.327,3.284,3.286,17086.0
2025-12-27 21:00:00+00:00,3.289,3.29,3.276,3.277,3336.0
2025-12-27 22:00:00+00:00,3.281,3.345,3.273,3.329,20943.0
2025-12-27 23:00:00+00:00,3.328,3.35,3.282,3.303,32152.0
2025-12-28 00:00:00+00:00,3.305,3.319,3.276,3.282,12988.0
2025-12-28 01:00:00+00:00,3.283,3.296,3.273,3.276,9759.0
2025-12-28 02:00:00+00:00,3.274,3.281,3.257,3.269,13819.0
2025-12-28 03:00:00+00:00,3.267,3.269,3.238,3.243,9291.0
2025-12-28 04:00:00+00:00,3.245,3.285,3.245,3.276,12796.0
2025-12-28 05:00:00+00:00,3.277,3.288,3.248,3.248,17940.0
2025-12-28 06:00:00+00:00,3.249,3.268,3.234,3.261,19072.0
2025-12-28 07:00:00+00:00,3.261,3.282,3.257,3.278,16850.0
2025-12-28 08:00:00+00:00,3.277,3.313,3.272,3.282,15694.0
2025-12-28 09:00:00+00:00,3.281,3.311,3.278,3.293,18486.0
2025-12-28 10:00:00+00:00,3.293,3.308,3.279,3.305,18762.0
2025-12-28 11:00:00+00:00,3.305,3.484,3.305,3.39,89147.0
2025-12-28 12:00:00+00:00,3.39,3.433,3.381,3.413,40621.0
2025-12-28 13:00:00+00:00,3.412,3.432,3.341,3.375,43655.0
2025-12-28 14:00:00+00:00,3.378,3.394,3.322,3.329,28639.0
2025-12-28 15:00:00+00:00,3.329,3.374,3.296,3.359,22563.0
2025-12-28 16:00:00+00:00,3.358,3.386,3.306,3.319,18504.0
2025-12-28 17:00:00+00:00,3.32,3.376,3.302,3.356,25383.0
